INFO:root:round 0	 loss: 33.370	 reward1: 0.25	 reward2: 3.00	 value: 8.233	 pos_reward_ct: 0
INFO:root:round 1	 loss: 28.530	 reward1: 1.00	 reward2: 1.00	 value: 9.674	 pos_reward_ct: 0
INFO:root:round 2	 loss: 25.508	 reward1: 0.75	 reward2: 2.00	 value: 10.612	 pos_reward_ct: 0
INFO:root:round 3	 loss: 21.571	 reward1: 0.50	 reward2: 1.00	 value: 11.197	 pos_reward_ct: 0
INFO:root:round 4	 loss: 20.156	 reward1: 1.00	 reward2: 2.00	 value: 12.124	 pos_reward_ct: 0
INFO:root:round 5	 loss: 17.985	 reward1: 0.50	 reward2: 0.00	 value: 13.104	 pos_reward_ct: 0
INFO:root:round 6	 loss: 15.955	 reward1: 0.50	 reward2: 1.00	 value: 13.744	 pos_reward_ct: 0
INFO:root:round 7	 loss: 14.092	 reward1: 0.50	 reward2: 2.00	 value: 14.952	 pos_reward_ct: 0
INFO:root:round 8	 loss: 13.662	 reward1: 0.25	 reward2: 4.00	 value: 16.053	 pos_reward_ct: 0
INFO:root:round 9	 loss: 12.356	 reward1: 1.00	 reward2: 1.00	 value: 16.907	 pos_reward_ct: 0
INFO:root:round 10	 loss: 11.589	 reward1: 0.25	 reward2: 1.00	 value: 17.960	 pos_reward_ct: 0
INFO:root:round 11	 loss: 10.253	 reward1: 1.00	 reward2: 1.00	 value: 19.320	 pos_reward_ct: 0
INFO:root:round 12	 loss: 9.319	 reward1: 1.00	 reward2: 3.00	 value: 20.399	 pos_reward_ct: 0
INFO:root:round 13	 loss: 8.651	 reward1: 0.75	 reward2: 0.00	 value: 21.763	 pos_reward_ct: 0
INFO:root:round 14	 loss: 7.917	 reward1: 0.50	 reward2: 3.00	 value: 22.923	 pos_reward_ct: 0
INFO:root:round 15	 loss: 7.148	 reward1: 0.00	 reward2: 0.00	 value: 23.828	 pos_reward_ct: 0
INFO:root:round 16	 loss: 6.419	 reward1: 0.50	 reward2: 1.00	 value: 25.136	 pos_reward_ct: 0
INFO:root:round 17	 loss: 6.309	 reward1: 0.50	 reward2: 0.00	 value: 26.607	 pos_reward_ct: 0
INFO:root:round 18	 loss: 5.767	 reward1: 0.25	 reward2: 0.00	 value: 27.995	 pos_reward_ct: 0
INFO:root:round 19	 loss: 5.235	 reward1: 0.00	 reward2: 0.00	 value: 29.530	 pos_reward_ct: 0
INFO:root:round 20	 loss: 5.093	 reward1: 0.25	 reward2: 1.00	 value: 31.545	 pos_reward_ct: 0
INFO:root:round 21	 loss: 5.179	 reward1: 0.25	 reward2: 1.00	 value: 32.757	 pos_reward_ct: 0
INFO:root:round 22	 loss: 5.028	 reward1: 0.75	 reward2: 0.00	 value: 34.843	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.809	 reward1: 0.50	 reward2: 1.00	 value: 36.659	 pos_reward_ct: 0
INFO:root:round 24	 loss: 4.879	 reward1: 0.25	 reward2: 1.00	 value: 38.537	 pos_reward_ct: 0
INFO:root:round 25	 loss: 4.797	 reward1: 0.75	 reward2: 0.00	 value: 40.353	 pos_reward_ct: 0
INFO:root:round 26	 loss: 4.722	 reward1: 0.75	 reward2: 4.00	 value: 42.768	 pos_reward_ct: 0
INFO:root:round 27	 loss: 5.024	 reward1: 0.75	 reward2: 1.00	 value: 44.347	 pos_reward_ct: 0
INFO:root:round 28	 loss: 5.138	 reward1: 1.00	 reward2: 1.00	 value: 46.588	 pos_reward_ct: 0
INFO:root:round 29	 loss: 5.343	 reward1: 0.75	 reward2: 0.00	 value: 48.901	 pos_reward_ct: 0
INFO:root:round 30	 loss: 5.597	 reward1: 0.50	 reward2: 1.00	 value: 51.755	 pos_reward_ct: 0
