INFO:root:round 0	 loss: 22.215	 reward1: 0.75	 reward2: 0.00	 value: 6.933	 pos_reward_ct: 0
INFO:root:round 1	 loss: 21.755	 reward1: 0.50	 reward2: 2.00	 value: 8.043	 pos_reward_ct: 0
INFO:root:round 2	 loss: 19.632	 reward1: 0.00	 reward2: 3.00	 value: 9.476	 pos_reward_ct: 0
INFO:root:round 3	 loss: 17.619	 reward1: 0.00	 reward2: 3.00	 value: 10.458	 pos_reward_ct: 0
INFO:root:round 4	 loss: 15.107	 reward1: 1.25	 reward2: 0.00	 value: 11.537	 pos_reward_ct: 0
INFO:root:round 5	 loss: 13.173	 reward1: 1.50	 reward2: 1.00	 value: 12.488	 pos_reward_ct: 0
INFO:root:round 6	 loss: 11.883	 reward1: 0.25	 reward2: 1.00	 value: 13.525	 pos_reward_ct: 0
INFO:root:round 7	 loss: 10.972	 reward1: 0.50	 reward2: 1.00	 value: 14.929	 pos_reward_ct: 0
INFO:root:round 8	 loss: 10.179	 reward1: 0.50	 reward2: 2.00	 value: 16.129	 pos_reward_ct: 0
INFO:root:round 9	 loss: 9.025	 reward1: 0.50	 reward2: 5.00	 value: 16.977	 pos_reward_ct: 0
INFO:root:round 10	 loss: 8.470	 reward1: 1.00	 reward2: 0.00	 value: 18.244	 pos_reward_ct: 0
INFO:root:round 11	 loss: 7.734	 reward1: 0.50	 reward2: 3.00	 value: 19.368	 pos_reward_ct: 0
INFO:root:round 12	 loss: 6.842	 reward1: 0.75	 reward2: 2.00	 value: 20.510	 pos_reward_ct: 0
INFO:root:round 13	 loss: 6.240	 reward1: 0.25	 reward2: 1.00	 value: 21.799	 pos_reward_ct: 0
INFO:root:round 14	 loss: 5.699	 reward1: 0.25	 reward2: 1.00	 value: 23.248	 pos_reward_ct: 0
INFO:root:round 15	 loss: 5.505	 reward1: 0.00	 reward2: 3.00	 value: 24.533	 pos_reward_ct: 0
INFO:root:round 16	 loss: 5.565	 reward1: 1.25	 reward2: 1.00	 value: 26.048	 pos_reward_ct: 0
