INFO:root:round 0	 loss: 23.935	 reward1: 1.00	 reward2: 1.00	 value: 6.490	 pos_reward_ct: 0
INFO:root:round 1	 loss: 19.652	 reward1: 0.25	 reward2: 0.00	 value: 7.644	 pos_reward_ct: 0
INFO:root:round 2	 loss: 17.999	 reward1: 0.00	 reward2: 1.00	 value: 8.264	 pos_reward_ct: 0
INFO:root:round 3	 loss: 15.902	 reward1: 0.50	 reward2: 1.00	 value: 9.373	 pos_reward_ct: 0
INFO:root:round 4	 loss: 14.871	 reward1: 0.75	 reward2: 2.00	 value: 10.659	 pos_reward_ct: 0
INFO:root:round 5	 loss: 13.560	 reward1: 0.25	 reward2: 2.00	 value: 11.962	 pos_reward_ct: 0
INFO:root:round 6	 loss: 12.235	 reward1: 0.50	 reward2: 1.00	 value: 13.187	 pos_reward_ct: 0
INFO:root:round 7	 loss: 10.781	 reward1: 0.25	 reward2: 0.00	 value: 14.199	 pos_reward_ct: 0
INFO:root:round 8	 loss: 9.658	 reward1: 1.50	 reward2: 1.00	 value: 15.186	 pos_reward_ct: 0
INFO:root:round 9	 loss: 8.577	 reward1: 0.50	 reward2: 0.00	 value: 16.271	 pos_reward_ct: 0
INFO:root:round 10	 loss: 8.308	 reward1: 0.25	 reward2: 5.00	 value: 17.716	 pos_reward_ct: 0
INFO:root:round 11	 loss: 7.575	 reward1: 0.75	 reward2: 3.00	 value: 18.842	 pos_reward_ct: 0
INFO:root:round 12	 loss: 6.815	 reward1: 0.25	 reward2: 1.00	 value: 20.195	 pos_reward_ct: 0
INFO:root:round 13	 loss: 6.419	 reward1: 1.00	 reward2: 2.00	 value: 21.281	 pos_reward_ct: 0
INFO:root:round 14	 loss: 5.458	 reward1: 0.50	 reward2: 2.00	 value: 22.644	 pos_reward_ct: 0
INFO:root:round 15	 loss: 5.497	 reward1: 0.50	 reward2: 3.00	 value: 24.137	 pos_reward_ct: 0
INFO:root:round 16	 loss: 4.983	 reward1: 0.50	 reward2: 0.00	 value: 25.466	 pos_reward_ct: 0
INFO:root:round 17	 loss: 4.797	 reward1: 0.75	 reward2: 4.00	 value: 27.073	 pos_reward_ct: 0
INFO:root:round 18	 loss: 4.624	 reward1: 0.75	 reward2: 1.00	 value: 28.593	 pos_reward_ct: 0
INFO:root:round 19	 loss: 4.500	 reward1: 0.75	 reward2: 3.00	 value: 30.582	 pos_reward_ct: 0
INFO:root:round 20	 loss: 4.384	 reward1: 0.50	 reward2: 2.00	 value: 31.927	 pos_reward_ct: 0
INFO:root:round 21	 loss: 4.077	 reward1: 0.75	 reward2: 1.00	 value: 34.292	 pos_reward_ct: 0
INFO:root:round 22	 loss: 4.249	 reward1: 1.25	 reward2: 2.00	 value: 35.823	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.475	 reward1: 0.75	 reward2: 1.00	 value: 37.766	 pos_reward_ct: 0
INFO:root:round 24	 loss: 4.400	 reward1: 0.50	 reward2: 2.00	 value: 40.306	 pos_reward_ct: 0
INFO:root:round 25	 loss: 4.426	 reward1: 1.25	 reward2: 1.00	 value: 42.421	 pos_reward_ct: 0
INFO:root:round 26	 loss: 4.425	 reward1: 0.25	 reward2: 1.00	 value: 44.551	 pos_reward_ct: 0
INFO:root:round 27	 loss: 4.554	 reward1: 0.00	 reward2: 1.00	 value: 46.773	 pos_reward_ct: 0
INFO:root:round 28	 loss: 4.951	 reward1: 0.00	 reward2: 1.00	 value: 49.081	 pos_reward_ct: 0
INFO:root:round 29	 loss: 5.141	 reward1: 0.00	 reward2: 0.00	 value: 51.228	 pos_reward_ct: 0
INFO:root:round 30	 loss: 5.800	 reward1: 1.75	 reward2: 0.00	 value: 53.283	 pos_reward_ct: 0
INFO:root:round 31	 loss: 5.960	 reward1: 0.00	 reward2: 1.00	 value: 55.672	 pos_reward_ct: 0
INFO:root:round 32	 loss: 6.350	 reward1: 0.50	 reward2: 1.00	 value: 58.863	 pos_reward_ct: 0
INFO:root:round 33	 loss: 6.753	 reward1: 0.25	 reward2: 4.00	 value: 60.671	 pos_reward_ct: 0
INFO:root:round 34	 loss: 7.146	 reward1: 0.00	 reward2: 1.00	 value: 63.311	 pos_reward_ct: 0
INFO:root:round 35	 loss: 7.907	 reward1: 0.75	 reward2: 2.00	 value: 66.322	 pos_reward_ct: 0
INFO:root:round 36	 loss: 8.097	 reward1: 0.75	 reward2: 0.00	 value: 68.612	 pos_reward_ct: 0
INFO:root:round 37	 loss: 9.045	 reward1: 0.75	 reward2: 0.00	 value: 71.493	 pos_reward_ct: 0
INFO:root:round 38	 loss: 9.681	 reward1: 1.25	 reward2: 3.00	 value: 73.705	 pos_reward_ct: 0
INFO:root:round 39	 loss: 9.679	 reward1: 0.75	 reward2: 2.00	 value: 75.784	 pos_reward_ct: 0
INFO:root:round 40	 loss: 10.297	 reward1: 0.00	 reward2: 2.00	 value: 79.250	 pos_reward_ct: 0
INFO:root:round 41	 loss: 10.954	 reward1: 0.25	 reward2: 2.00	 value: 81.747	 pos_reward_ct: 0
INFO:root:round 42	 loss: 11.134	 reward1: 0.50	 reward2: 3.00	 value: 83.087	 pos_reward_ct: 0
INFO:root:round 43	 loss: 11.921	 reward1: 0.25	 reward2: 0.00	 value: 85.902	 pos_reward_ct: 0
INFO:root:round 44	 loss: 12.349	 reward1: 0.50	 reward2: 2.00	 value: 88.580	 pos_reward_ct: 0
INFO:root:round 45	 loss: 12.903	 reward1: 0.00	 reward2: 2.00	 value: 89.824	 pos_reward_ct: 0
INFO:root:round 46	 loss: 13.166	 reward1: 0.50	 reward2: 2.00	 value: 92.631	 pos_reward_ct: 0
INFO:root:round 47	 loss: 14.380	 reward1: 1.25	 reward2: 1.00	 value: 95.644	 pos_reward_ct: 0
INFO:root:round 48	 loss: 13.938	 reward1: 0.50	 reward2: 3.00	 value: 98.599	 pos_reward_ct: 0
INFO:root:round 49	 loss: 14.139	 reward1: 1.00	 reward2: 2.00	 value: 100.400	 pos_reward_ct: 0
INFO:root:round 50	 loss: 14.242	 reward1: 0.25	 reward2: 1.00	 value: 102.508	 pos_reward_ct: 0
INFO:root:round 51	 loss: 14.193	 reward1: 0.25	 reward2: 1.00	 value: 104.750	 pos_reward_ct: 0
INFO:root:round 52	 loss: 15.681	 reward1: 1.25	 reward2: 2.00	 value: 106.483	 pos_reward_ct: 0
INFO:root:round 53	 loss: 14.858	 reward1: 0.50	 reward2: 1.00	 value: 109.360	 pos_reward_ct: 0
INFO:root:round 54	 loss: 14.700	 reward1: 0.25	 reward2: 0.00	 value: 110.772	 pos_reward_ct: 0
INFO:root:round 55	 loss: 15.776	 reward1: 0.50	 reward2: 2.00	 value: 112.919	 pos_reward_ct: 0
INFO:root:round 56	 loss: 15.568	 reward1: 0.50	 reward2: 2.00	 value: 115.068	 pos_reward_ct: 0
