INFO:root:round 0	 loss: 27.483	 reward1: 0.50	 reward2: 3.00	 value: 7.533	 pos_reward_ct: 0
INFO:root:round 1	 loss: 25.228	 reward1: 0.25	 reward2: 4.00	 value: 8.466	 pos_reward_ct: 0
INFO:root:round 2	 loss: 23.092	 reward1: 0.25	 reward2: 1.00	 value: 9.832	 pos_reward_ct: 0
INFO:root:round 3	 loss: 19.678	 reward1: 1.25	 reward2: 2.00	 value: 10.737	 pos_reward_ct: 0
INFO:root:round 4	 loss: 17.013	 reward1: 0.50	 reward2: 2.00	 value: 11.976	 pos_reward_ct: 0
INFO:root:round 5	 loss: 15.422	 reward1: 0.50	 reward2: 1.00	 value: 12.978	 pos_reward_ct: 0
INFO:root:round 6	 loss: 13.976	 reward1: 0.50	 reward2: 1.00	 value: 14.299	 pos_reward_ct: 0
INFO:root:round 7	 loss: 12.682	 reward1: 0.75	 reward2: 1.00	 value: 15.334	 pos_reward_ct: 0
INFO:root:round 8	 loss: 11.076	 reward1: 0.75	 reward2: 3.00	 value: 16.510	 pos_reward_ct: 0
INFO:root:round 9	 loss: 9.924	 reward1: 0.75	 reward2: 1.00	 value: 17.843	 pos_reward_ct: 0
INFO:root:round 10	 loss: 9.187	 reward1: 1.00	 reward2: 2.00	 value: 18.756	 pos_reward_ct: 0
INFO:root:round 11	 loss: 7.859	 reward1: 0.00	 reward2: 2.00	 value: 20.098	 pos_reward_ct: 0
INFO:root:round 12	 loss: 7.084	 reward1: 0.75	 reward2: 1.00	 value: 21.381	 pos_reward_ct: 0
INFO:root:round 13	 loss: 6.504	 reward1: 1.00	 reward2: 1.00	 value: 22.733	 pos_reward_ct: 0
INFO:root:round 14	 loss: 6.002	 reward1: 0.75	 reward2: 3.00	 value: 24.097	 pos_reward_ct: 0
INFO:root:round 15	 loss: 5.391	 reward1: 0.25	 reward2: 4.00	 value: 25.380	 pos_reward_ct: 0
INFO:root:round 16	 loss: 5.068	 reward1: 1.25	 reward2: 2.00	 value: 26.649	 pos_reward_ct: 0
INFO:root:round 17	 loss: 4.936	 reward1: 0.75	 reward2: 2.00	 value: 27.996	 pos_reward_ct: 0
INFO:root:round 18	 loss: 4.590	 reward1: 0.25	 reward2: 1.00	 value: 29.746	 pos_reward_ct: 0
INFO:root:round 19	 loss: 4.721	 reward1: 0.75	 reward2: 0.00	 value: 31.418	 pos_reward_ct: 0
INFO:root:round 20	 loss: 4.502	 reward1: 0.00	 reward2: 2.00	 value: 32.884	 pos_reward_ct: 0
INFO:root:round 21	 loss: 4.393	 reward1: 0.50	 reward2: 1.00	 value: 34.701	 pos_reward_ct: 0
INFO:root:round 22	 loss: 4.346	 reward1: 1.25	 reward2: 3.00	 value: 36.288	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.591	 reward1: 1.00	 reward2: 1.00	 value: 38.079	 pos_reward_ct: 0
INFO:root:round 24	 loss: 4.499	 reward1: 0.75	 reward2: 1.00	 value: 40.173	 pos_reward_ct: 0
INFO:root:round 25	 loss: 4.300	 reward1: 0.00	 reward2: 2.00	 value: 42.438	 pos_reward_ct: 0
INFO:root:round 26	 loss: 4.528	 reward1: 0.00	 reward2: 2.00	 value: 44.582	 pos_reward_ct: 0
INFO:root:round 27	 loss: 4.722	 reward1: 0.25	 reward2: 3.00	 value: 46.602	 pos_reward_ct: 0
INFO:root:round 28	 loss: 4.948	 reward1: 1.25	 reward2: 1.00	 value: 48.731	 pos_reward_ct: 0
INFO:root:round 29	 loss: 5.057	 reward1: 1.00	 reward2: 3.00	 value: 51.401	 pos_reward_ct: 0
INFO:root:round 30	 loss: 5.372	 reward1: 0.75	 reward2: 2.00	 value: 53.963	 pos_reward_ct: 0
INFO:root:round 31	 loss: 5.585	 reward1: 0.75	 reward2: 1.00	 value: 55.933	 pos_reward_ct: 0
INFO:root:round 32	 loss: 6.384	 reward1: 1.00	 reward2: 4.00	 value: 58.398	 pos_reward_ct: 0
INFO:root:round 33	 loss: 6.698	 reward1: 0.75	 reward2: 0.00	 value: 60.415	 pos_reward_ct: 0
INFO:root:round 34	 loss: 6.985	 reward1: 0.50	 reward2: 2.00	 value: 63.704	 pos_reward_ct: 0
INFO:root:round 35	 loss: 7.533	 reward1: 0.50	 reward2: 0.00	 value: 65.612	 pos_reward_ct: 0
INFO:root:round 36	 loss: 8.025	 reward1: 0.25	 reward2: 2.00	 value: 67.988	 pos_reward_ct: 0
INFO:root:round 37	 loss: 8.124	 reward1: 0.50	 reward2: 2.00	 value: 70.377	 pos_reward_ct: 0
INFO:root:round 38	 loss: 9.509	 reward1: 0.75	 reward2: 1.00	 value: 72.814	 pos_reward_ct: 0
INFO:root:round 39	 loss: 9.931	 reward1: 1.00	 reward2: 0.00	 value: 75.246	 pos_reward_ct: 0
INFO:root:round 40	 loss: 9.652	 reward1: 1.00	 reward2: 2.00	 value: 77.744	 pos_reward_ct: 0
INFO:root:round 41	 loss: 11.003	 reward1: 0.75	 reward2: 2.00	 value: 80.088	 pos_reward_ct: 0
INFO:root:round 42	 loss: 11.313	 reward1: 0.50	 reward2: 1.00	 value: 82.134	 pos_reward_ct: 0
INFO:root:round 43	 loss: 11.486	 reward1: 0.25	 reward2: 3.00	 value: 85.447	 pos_reward_ct: 0
INFO:root:round 44	 loss: 12.368	 reward1: 0.25	 reward2: 1.00	 value: 87.570	 pos_reward_ct: 0
