INFO:root:round 0	 loss: 24.011	 reward1: 0.25	 reward2: 1.00	 value: 7.402	 pos_reward_ct: 0
INFO:root:round 1	 loss: 25.973	 reward1: 0.25	 reward2: 2.00	 value: 8.757	 pos_reward_ct: 0
INFO:root:round 2	 loss: 21.851	 reward1: 0.75	 reward2: 3.00	 value: 9.419	 pos_reward_ct: 0
INFO:root:round 3	 loss: 20.068	 reward1: 0.00	 reward2: 1.00	 value: 10.545	 pos_reward_ct: 0
INFO:root:round 4	 loss: 18.166	 reward1: 0.25	 reward2: 2.00	 value: 11.570	 pos_reward_ct: 0
INFO:root:round 5	 loss: 16.085	 reward1: 0.25	 reward2: 1.00	 value: 12.791	 pos_reward_ct: 0
INFO:root:round 6	 loss: 13.271	 reward1: 0.25	 reward2: 1.00	 value: 13.715	 pos_reward_ct: 0
INFO:root:round 7	 loss: 12.314	 reward1: 1.25	 reward2: 2.00	 value: 14.621	 pos_reward_ct: 0
INFO:root:round 8	 loss: 11.305	 reward1: 0.25	 reward2: 0.00	 value: 16.158	 pos_reward_ct: 0
INFO:root:round 9	 loss: 10.216	 reward1: 0.75	 reward2: 2.00	 value: 17.025	 pos_reward_ct: 0
INFO:root:round 10	 loss: 9.299	 reward1: 0.25	 reward2: 1.00	 value: 17.970	 pos_reward_ct: 0
INFO:root:round 11	 loss: 8.725	 reward1: 0.25	 reward2: 4.00	 value: 19.488	 pos_reward_ct: 0
INFO:root:round 12	 loss: 8.666	 reward1: 0.50	 reward2: 2.00	 value: 20.950	 pos_reward_ct: 0
INFO:root:round 13	 loss: 8.093	 reward1: 0.00	 reward2: 0.00	 value: 22.090	 pos_reward_ct: 0
INFO:root:round 14	 loss: 7.036	 reward1: 1.25	 reward2: 2.00	 value: 23.349	 pos_reward_ct: 0
INFO:root:round 15	 loss: 6.582	 reward1: 0.75	 reward2: 5.00	 value: 24.771	 pos_reward_ct: 0
INFO:root:round 16	 loss: 6.339	 reward1: 0.00	 reward2: 1.00	 value: 26.172	 pos_reward_ct: 0
INFO:root:round 17	 loss: 5.696	 reward1: 0.25	 reward2: 0.00	 value: 27.739	 pos_reward_ct: 0
INFO:root:round 18	 loss: 5.411	 reward1: 0.25	 reward2: 3.00	 value: 29.230	 pos_reward_ct: 0
INFO:root:round 19	 loss: 5.041	 reward1: 0.25	 reward2: 2.00	 value: 30.200	 pos_reward_ct: 0
INFO:root:round 20	 loss: 4.801	 reward1: 0.25	 reward2: 3.00	 value: 32.391	 pos_reward_ct: 0
INFO:root:round 21	 loss: 4.712	 reward1: 0.75	 reward2: 0.00	 value: 34.053	 pos_reward_ct: 0
INFO:root:round 22	 loss: 4.497	 reward1: 0.75	 reward2: 1.00	 value: 36.023	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.699	 reward1: 0.50	 reward2: 1.00	 value: 37.652	 pos_reward_ct: 0
INFO:root:round 24	 loss: 4.596	 reward1: 0.25	 reward2: 2.00	 value: 40.002	 pos_reward_ct: 0
INFO:root:round 25	 loss: 4.763	 reward1: 1.00	 reward2: 2.00	 value: 41.581	 pos_reward_ct: 0
INFO:root:round 26	 loss: 4.769	 reward1: 0.50	 reward2: 1.00	 value: 43.938	 pos_reward_ct: 0
INFO:root:round 27	 loss: 4.963	 reward1: 0.50	 reward2: 3.00	 value: 46.605	 pos_reward_ct: 0
INFO:root:round 28	 loss: 4.926	 reward1: 0.00	 reward2: 2.00	 value: 48.624	 pos_reward_ct: 0
INFO:root:round 29	 loss: 5.328	 reward1: 0.00	 reward2: 0.00	 value: 50.625	 pos_reward_ct: 0
INFO:root:round 30	 loss: 5.582	 reward1: 0.75	 reward2: 3.00	 value: 53.507	 pos_reward_ct: 0
INFO:root:round 31	 loss: 6.094	 reward1: 0.75	 reward2: 0.00	 value: 55.769	 pos_reward_ct: 0
INFO:root:round 32	 loss: 6.368	 reward1: 0.25	 reward2: 2.00	 value: 58.334	 pos_reward_ct: 0
INFO:root:round 33	 loss: 6.797	 reward1: 0.75	 reward2: 1.00	 value: 61.398	 pos_reward_ct: 0
INFO:root:round 34	 loss: 7.511	 reward1: 0.50	 reward2: 1.00	 value: 63.326	 pos_reward_ct: 0
INFO:root:round 35	 loss: 7.957	 reward1: 1.50	 reward2: 4.00	 value: 66.060	 pos_reward_ct: 0
INFO:root:round 36	 loss: 8.305	 reward1: 0.25	 reward2: 0.00	 value: 68.351	 pos_reward_ct: 0
INFO:root:round 37	 loss: 8.762	 reward1: 0.50	 reward2: 1.00	 value: 70.618	 pos_reward_ct: 0
INFO:root:round 38	 loss: 9.090	 reward1: 0.25	 reward2: 1.00	 value: 73.237	 pos_reward_ct: 0
INFO:root:round 39	 loss: 9.889	 reward1: 1.00	 reward2: 3.00	 value: 75.612	 pos_reward_ct: 0
INFO:root:round 40	 loss: 10.259	 reward1: 0.25	 reward2: 1.00	 value: 77.762	 pos_reward_ct: 0
INFO:root:round 41	 loss: 11.388	 reward1: 0.75	 reward2: 1.00	 value: 80.451	 pos_reward_ct: 0
INFO:root:round 42	 loss: 11.509	 reward1: 0.50	 reward2: 2.00	 value: 82.935	 pos_reward_ct: 0
INFO:root:round 43	 loss: 12.106	 reward1: 0.75	 reward2: 1.00	 value: 85.416	 pos_reward_ct: 0
INFO:root:round 44	 loss: 12.004	 reward1: 0.75	 reward2: 1.00	 value: 88.049	 pos_reward_ct: 0
INFO:root:round 45	 loss: 12.534	 reward1: 0.50	 reward2: 0.00	 value: 91.322	 pos_reward_ct: 0
INFO:root:round 46	 loss: 13.088	 reward1: 0.25	 reward2: 3.00	 value: 93.712	 pos_reward_ct: 0
INFO:root:round 47	 loss: 13.657	 reward1: 1.00	 reward2: 1.00	 value: 96.106	 pos_reward_ct: 0
INFO:root:round 48	 loss: 13.508	 reward1: 0.50	 reward2: 2.00	 value: 96.798	 pos_reward_ct: 0
INFO:root:round 49	 loss: 13.639	 reward1: 0.25	 reward2: 3.00	 value: 100.052	 pos_reward_ct: 0
INFO:root:round 50	 loss: 14.073	 reward1: 0.25	 reward2: 4.00	 value: 101.822	 pos_reward_ct: 0
INFO:root:round 51	 loss: 14.449	 reward1: 0.50	 reward2: 0.00	 value: 103.832	 pos_reward_ct: 0
INFO:root:round 52	 loss: 14.987	 reward1: 0.75	 reward2: 1.00	 value: 106.396	 pos_reward_ct: 0
INFO:root:round 53	 loss: 14.217	 reward1: 0.25	 reward2: 1.00	 value: 108.471	 pos_reward_ct: 0
INFO:root:round 54	 loss: 14.619	 reward1: 0.25	 reward2: 0.00	 value: 110.766	 pos_reward_ct: 0
INFO:root:round 55	 loss: 15.334	 reward1: 0.50	 reward2: 2.00	 value: 112.655	 pos_reward_ct: 0
INFO:root:round 56	 loss: 14.975	 reward1: 0.50	 reward2: 2.00	 value: 115.211	 pos_reward_ct: 0
INFO:root:round 57	 loss: 15.525	 reward1: 0.50	 reward2: 3.00	 value: 116.799	 pos_reward_ct: 0
INFO:root:round 58	 loss: 15.217	 reward1: 0.25	 reward2: 5.00	 value: 118.702	 pos_reward_ct: 0
INFO:root:round 59	 loss: 15.228	 reward1: 0.00	 reward2: 3.00	 value: 121.081	 pos_reward_ct: 0
INFO:root:round 60	 loss: 14.554	 reward1: 0.75	 reward2: 2.00	 value: 122.573	 pos_reward_ct: 0
INFO:root:round 61	 loss: 14.970	 reward1: 0.25	 reward2: 1.00	 value: 123.681	 pos_reward_ct: 0
INFO:root:round 62	 loss: 15.047	 reward1: 0.25	 reward2: 0.00	 value: 124.975	 pos_reward_ct: 0
INFO:root:round 63	 loss: 14.640	 reward1: 0.25	 reward2: 4.00	 value: 127.587	 pos_reward_ct: 0
INFO:root:round 64	 loss: 15.408	 reward1: 0.00	 reward2: 2.00	 value: 129.113	 pos_reward_ct: 0
INFO:root:round 65	 loss: 14.262	 reward1: 0.25	 reward2: 2.00	 value: 130.402	 pos_reward_ct: 0
INFO:root:round 66	 loss: 15.319	 reward1: 1.00	 reward2: 1.00	 value: 131.676	 pos_reward_ct: 0
INFO:root:round 67	 loss: 14.022	 reward1: 0.25	 reward2: 2.00	 value: 133.139	 pos_reward_ct: 0
